id,Easting,Northing,Longitude,Latitude
511,708260.500,9324002.500,106.882,-6.112
533,708250.000,9324002.000,106.882,-6.112
534,708250.500,9324002.000,106.882,-6.112
535,708251.000,9324002.000,106.882,-6.112
536,708251.500,9324002.000,106.882,-6.112
537,708252.000,9324002.000,106.882,-6.112
538,708252.500,9324002.000,106.882,-6.112
539,708253.000,9324002.000,106.882,-6.112
540,708253.500,9324002.000,106.882,-6.112
541,708254.000,9324002.000,106.882,-6.112
542,708254.500,9324002.000,106.882,-6.112
543,708255.000,9324002.000,106.882,-6.112
544,708255.500,9324002.000,106.882,-6.112
545,708256.000,9324002.000,106.882,-6.112
546,708256.500,9324002.000,106.882,-6.112
547,708257.000,9324002.000,106.882,-6.112
548,708257.500,9324002.000,106.882,-6.112
549,708258.000,9324002.000,106.882,-6.112
550,708258.500,9324002.000,106.882,-6.112
551,708259.000,9324002.000,106.882,-6.112
552,708259.500,9324002.000,106.882,-6.112
553,708260.000,9324002.000,106.882,-6.112
554,708260.500,9324002.000,106.882,-6.112
555,708261.000,9324002.000,106.882,-6.112
574,708249.000,9324001.500,106.882,-6.112
575,708249.500,9324001.500,106.882,-6.112
576,708250.000,9324001.500,106.882,-6.112
577,708250.500,9324001.500,106.882,-6.112
578,708251.000,9324001.500,106.882,-6.112
579,708251.500,9324001.500,106.882,-6.112
580,708252.000,9324001.500,106.882,-6.112
581,708252.500,9324001.500,106.882,-6.112
582,708253.000,9324001.500,106.882,-6.112
583,708253.500,9324001.500,106.882,-6.112
584,708254.000,9324001.500,106.882,-6.112
585,708254.500,9324001.500,106.882,-6.112
586,708255.000,9324001.500,106.882,-6.112
587,708255.500,9324001.500,106.882,-6.112
588,708256.000,9324001.500,106.882,-6.112
589,708256.500,9324001.500,106.882,-6.112
590,708257.000,9324001.500,106.882,-6.112
591,708257.500,9324001.500,106.882,-6.112
592,708258.000,9324001.500,106.882,-6.112
593,708258.500,9324001.500,106.882,-6.112
594,708259.000,9324001.500,106.882,-6.112
595,708259.500,9324001.500,106.882,-6.112
596,708260.000,9324001.500,106.882,-6.112
597,708260.500,9324001.500,106.882,-6.112
616,708248.500,9324001.000,106.882,-6.112
617,708249.000,9324001.000,106.882,-6.112
618,708249.500,9324001.000,106.882,-6.112
619,708250.000,9324001.000,106.882,-6.112
620,708250.500,9324001.000,106.882,-6.112
621,708251.000,9324001.000,106.882,-6.112
622,708251.500,9324001.000,106.882,-6.112
623,708252.000,9324001.000,106.882,-6.112
624,708252.500,9324001.000,106.882,-6.112
625,708253.000,9324001.000,106.882,-6.112
626,708253.500,9324001.000,106.882,-6.112
627,708254.000,9324001.000,106.882,-6.112
628,708254.500,9324001.000,106.882,-6.112
629,708255.000,9324001.000,106.882,-6.112
630,708255.500,9324001.000,106.882,-6.112
631,708256.000,9324001.000,106.882,-6.112
632,708256.500,9324001.000,106.882,-6.112
633,708257.000,9324001.000,106.882,-6.112
634,708257.500,9324001.000,106.882,-6.112
635,708258.000,9324001.000,106.882,-6.112
636,708258.500,9324001.000,106.882,-6.112
637,708259.000,9324001.000,106.882,-6.112
